O,T,value
31,1431,0.622389014
31,1432,0.640266408
31,1433,0.622224055
31,1434,0.551235128
31,1435,0.423194562
31,1436,0.442089201
31,1437,0.507227251
31,1438,0.563540013
31,1439,0.595706951
31,1440,0.626170691
31,1441,0.614316349
31,1442,0.639317896
31,1443,0.618285667
31,1444,0.572358428
31,1445,0.439998866
31,1446,0.513908077
31,1447,0.591057179
31,1448,0.636117698
31,1449,0.602614595
31,1450,0.627564592
31,1451,0.5798503
31,1452,0.446970947
31,1453,0.407200445
31,1454,0.451471225
31,1455,0.511206879
31,1456,0.569107367
31,1457,0.608037611
31,1458,0.626038724
31,1459,0.640096295
31,1460,0.597892653
31,1461,0.581829804
31,1462,0.600490752
31,1463,0.601851661
31,1464,0.587500258
31,1465,0.544329203
31,1466,0.445017218
31,1467,0.394278684
31,1468,0.420500237
31,1469,0.446831763
31,1470,0.497803988
31,1471,0.537022909
31,1472,0.573190094
31,1473,0.589278718
31,1474,0.544363569
31,1475,0.549209229
31,1476,0.569292946
31,1477,0.573045755
31,1478,0.554456977
31,1479,0.533362889
31,1480,0.465863868
31,1481,0.406470503
31,1482,0.446305957
31,1483,0.514341093
31,1484,0.557784134
31,1485,0.56386993
31,1486,0.530905692
31,1487,0.444240537
31,1488,0.404112626
31,1489,0.44844011
31,1490,0.522630266
31,1491,0.5847372
31,1492,0.620553849
31,1493,0.638926119
31,1494,0.66153061
31,1495,0.642761408
31,1496,0.623048848
31,1497,0.646534837
31,1498,0.643029466
31,1499,0.623090088
31,1500,0.578303813
31,1501,0.483700023
31,1502,0.415151453
31,1503,0.442831515
31,1504,0.517660886
31,1505,0.579561622
31,1506,0.625502608
31,1507,0.649045302
31,1508,0.613790544
31,1509,0.630657566
31,1510,0.621358022
31,1511,0.575698841
31,1512,0.445223416
31,1513,0.466833
31,1514,0.533661876
31,1515,0.595232695
31,1516,0.627317154
31,1517,0.636699177
31,1518,0.660045982
31,1519,0.636781657
31,1520,0.642019094
31,1521,0.666268017
31,1522,0.665154546
31,1523,0.629935872
31,1524,0.555621997
31,1525,0.42914682
31,1526,0.45336825
31,1527,0.526259356
31,1528,0.600903149
31,1529,0.650662928
31,1530,0.635740355
31,1531,0.673134421
31,1532,0.655102378
31,1533,0.596318673
31,1534,0.451262449
31,1535,0.573860239
31,1536,0.644689362
31,1537,0.69041384
31,1538,0.635451678
31,1539,0.662793575
31,1540,0.640926243
31,1541,0.577204088
31,1542,0.452293073
31,1543,0.464317381
31,1544,0.511351218
31,1545,0.558240716
31,1546,0.613604966
31,1547,0.589417902
31,1548,0.58971689
31,1549,0.612646144
31,1550,0.560591377
31,1551,0.478730643
31,1552,0.417747489
31,1553,0.456028208
31,1554,0.533105141
