year,T,PV,Wind,Y
2009,428,0,0.6527,1
2009,429,0,0.6483,1
2009,430,0,0.6183,1
2009,431,0,0.5561,1
2009,432,0,0.4855,1
2009,433,0,0.4534,1
2009,434,0,0.4383,1
2009,435,0,0.4307,1
2009,436,0,0.4658,1
2009,437,0,0.5034,1
2009,438,0,0.5377,1
2009,439,0,0.5268,1
2009,440,0,0.4847,1
2009,441,0,0.4137,1
2009,442,0.01,0.3286,1
2009,443,0.031,0.2744,1
2009,444,0.056,0.2526,1
2009,445,0.073,0.2525,1
2009,446,0.068,0.2567,1
2009,447,0.044,0.2671,1
2009,448,0.012,0.2842,1
2009,449,0,0.3057,1
2009,450,0,0.3176,1
2009,451,0,0.3288,1
2009,452,0,0.3367,1
2009,453,0,0.3401,1
2009,454,0,0.3388,1
2009,455,0,0.3457,1
2009,456,0,0.3853,1
2009,457,0,0.4397,1
2009,458,0,0.4364,1
2009,459,0,0.4203,1
2009,460,0,0.4234,1
2009,461,0,0.4092,1
2009,462,0,0.4052,1
2009,463,0,0.4106,1
2009,464,0,0.4167,1
2009,465,0.006,0.4142,1
2009,466,0.041,0.3969,1
2009,467,0.1,0.3882,1
2009,468,0.145,0.4009,1
2009,469,0.152,0.4181,1
2009,470,0.127,0.4281,1
2009,471,0.078,0.434,1
2009,472,0.021,0.45,1
2009,473,0,0.4719,1
2009,474,0,0.4779,1
2009,475,0,0.4629,1
2009,476,0,0.4411,1
2009,477,0,0.4218,1
2009,478,0,0.3929,1
2009,479,0,0.3678,1
2009,480,0,0.36,1
2009,481,0,0.3477,1
2009,482,0,0.321,1
2009,483,0,0.3005,1
2009,484,0,0.2808,1
2009,485,0,0.2666,1
2009,486,0,0.252,1
2009,487,0,0.2484,1
2009,488,0,0.2509,1
2009,489,0.014,0.2373,1
2009,490,0.093,0.2155,1
2009,491,0.194,0.1886,1
2009,492,0.248,0.1886,1
2009,493,0.249,0.2114,1
2009,494,0.195,0.2384,1
2009,495,0.104,0.2689,1
2009,496,0.022,0.3204,1
2009,497,0,0.3863,1
2009,498,0,0.4317,1
2009,499,0,0.4838,1
2009,500,0,0.5427,1
2009,501,0,0.608,1
2009,502,0,0.6775,1
2009,503,0,0.7114,1
2009,504,0,0.7427,1
2009,505,0,0.7534,1
2009,506,0,0.7627,1
2009,507,0,0.7644,1
2009,508,0,0.7627,1
2009,509,0,0.7492,1
2009,510,0,0.7209,1
2009,511,0,0.6832,1
2009,512,0,0.6707,1
2009,513,0.001,0.6328,1
2009,514,0.025,0.6117,1
2009,515,0.077,0.577,1
2009,516,0.118,0.5652,1
2009,517,0.137,0.5662,1
2009,518,0.131,0.5548,1
2009,519,0.088,0.5485,1
2009,520,0.023,0.5396,1
2009,521,0,0.534,1
2009,522,0,0.5337,1
2009,523,0,0.5184,1
2009,524,0,0.4894,1
2009,525,0,0.4628,1
2009,526,0,0.423,1
2009,527,0,0.3596,1
2009,528,0,0.3092,1
2009,529,0,0.2618,1
2009,530,0,0.2287,1
2009,531,0,0.2049,1
