year,hour_of_year,PV,Wind
2009,645.0,0.0,0.1349
2009,646.0,0.0,0.1212
2009,647.0,0.0,0.1145
2009,648.0,0.0,0.1088
2009,649.0,0.0,0.0996
2009,650.0,0.0,0.0923
2009,651.0,0.0,0.0841
2009,652.0,0.0,0.0823
2009,653.0,0.0,0.0824
2009,654.0,0.0,0.0841
2009,655.0,0.0,0.0867
2009,656.0,0.0,0.092
2009,657.0,0.003,0.0942
2009,658.0,0.032,0.0946
2009,659.0,0.071,0.0927
2009,660.0,0.107,0.0936
2009,661.0,0.137,0.1014
2009,662.0,0.134,0.1172
2009,663.0,0.093,0.1364
2009,664.0,0.034,0.1584
2009,665.0,0.001,0.1737
2009,666.0,0.0,0.184
2009,667.0,0.0,0.1944
2009,668.0,0.0,0.207
2009,669.0,0.0,0.2198
2009,670.0,0.0,0.218
2009,671.0,0.0,0.2129
2009,672.0,0.0,0.2083
2009,673.0,0.0,0.2071
2009,674.0,0.0,0.2001
2009,675.0,0.0,0.1967
2009,676.0,0.0,0.2066
2009,677.0,0.0,0.2309
2009,678.0,0.0,0.2598
2009,679.0,0.0,0.2889
2009,680.0,0.0,0.332
2009,681.0,0.009,0.3667
2009,682.0,0.038,0.4135
2009,683.0,0.078,0.436
2009,684.0,0.119,0.4585
2009,685.0,0.14,0.4989
2009,686.0,0.133,0.5122
2009,687.0,0.095,0.5248
2009,688.0,0.038,0.5298
2009,689.0,0.001,0.5513
2009,690.0,0.0,0.5694
2009,691.0,0.0,0.5738
2009,692.0,0.0,0.5792
2009,693.0,0.0,0.5817
2009,694.0,0.0,0.5987
2009,695.0,0.0,0.6146
2009,696.0,0.0,0.6208
2009,697.0,0.0,0.6252
2009,698.0,0.0,0.6314
2009,699.0,0.0,0.6462
2009,700.0,0.0,0.6433
2009,701.0,0.0,0.6393
2009,702.0,0.0,0.6426
2009,703.0,0.0,0.6537
2009,704.0,0.0,0.6692
2009,705.0,0.016,0.6775
2009,706.0,0.053,0.683
2009,707.0,0.095,0.6851
2009,708.0,0.121,0.6818
2009,709.0,0.126,0.6754
2009,710.0,0.106,0.6588
2009,711.0,0.069,0.6514
2009,712.0,0.026,0.6591
2009,713.0,0.0,0.6691
2009,714.0,0.0,0.6665
2009,715.0,0.0,0.6619
2009,716.0,0.0,0.6596
2009,717.0,0.0,0.6524
2009,718.0,0.0,0.6348
2009,719.0,0.0,0.6195
2009,720.0,0.0,0.6061
2009,721.0,0.0,0.5975
2009,722.0,0.0,0.5903
2009,723.0,0.0,0.5887
2009,724.0,0.0,0.5937
2009,725.0,0.0,0.5974
2009,726.0,0.0,0.6011
2009,727.0,0.0,0.6068
2009,728.0,0.0,0.6142
2009,729.0,0.026,0.6184
2009,730.0,0.079,0.6137
2009,731.0,0.137,0.6283
2009,732.0,0.178,0.644
2009,733.0,0.188,0.6573
2009,734.0,0.168,0.66
2009,735.0,0.118,0.6582
2009,736.0,0.048,0.6615
2009,737.0,0.001,0.6675
2009,738.0,0.0,0.6663
2009,739.0,0.0,0.6603
2009,740.0,0.0,0.6471
2009,741.0,0.0,0.6285
2009,742.0,0.0,0.6082
2009,743.0,0.0,0.5879
2009,744.0,0.0,0.5703
2009,745.0,0.0,0.55
2009,746.0,0.0,0.5269
2009,747.0,0.0,0.5126
2009,748.0,0.0,0.4885
2009,749.0,0.0,0.4753
2009,750.0,0.0,0.4843
2009,751.0,0.0,0.4888
2009,752.0,0.0,0.4971
2009,753.0,0.067,0.4966
2009,754.0,0.189,0.4856
2009,755.0,0.284,0.5084
2009,756.0,0.344,0.532
2009,757.0,0.33,0.5221
2009,758.0,0.261,0.4922
2009,759.0,0.161,0.4597
2009,760.0,0.06,0.4636
2009,761.0,0.003,0.4861
2009,762.0,0.0,0.4946
2009,763.0,0.0,0.4898
2009,764.0,0.0,0.4676
2009,765.0,0.0,0.4199
2009,766.0,0.0,0.3732
2009,767.0,0.0,0.3406
2009,768.0,0.0,0.3111
2009,769.0,0.0,0.3033
2009,770.0,0.0,0.3147
2009,771.0,0.0,0.3315
2009,772.0,0.0,0.3473
2009,773.0,0.0,0.3686
2009,774.0,0.0,0.3866
2009,775.0,0.0,0.4019
2009,776.0,0.0,0.4088
2009,777.0,0.016,0.4195
2009,778.0,0.065,0.4181
2009,779.0,0.108,0.4624
2009,780.0,0.132,0.4962
2009,781.0,0.13,0.4943
2009,782.0,0.107,0.4717
2009,783.0,0.069,0.4455
2009,784.0,0.026,0.4518
2009,785.0,0.001,0.4719
2009,786.0,0.0,0.4843
2009,787.0,0.0,0.5011
2009,788.0,0.0,0.5219
2009,789.0,0.0,0.5454
2009,790.0,0.0,0.5602
2009,791.0,0.0,0.5755
2009,792.0,0.0,0.589
2009,793.0,0.0,0.594
2009,794.0,0.0,0.5891
2009,795.0,0.0,0.5862
