O,T,G,value
10,978,PV,0.1155
10,979,PV,0.00475
10,980,PV,0.0005
10,981,PV,0.055
10,982,PV,0.136
10,983,PV,0.225
10,984,PV,0.3272
10,985,PV,0.217
10,986,PV,0.0965
10,987,PV,0.005666667
10,988,PV,0
10,989,PV,0.001142857
10,990,PV,0.069
10,991,PV,0.16
10,992,PV,0.26
10,993,PV,0.3634
10,994,PV,0.25
10,995,PV,0.1245
10,996,PV,0.00575
10,997,PV,0.007888889
10,998,PV,0.15
10,999,PV,0.266
10,1000,PV,0.392
10,1001,PV,0.3335
10,1002,PV,0.207
10,1003,PV,0.095
10,1004,PV,0.007
10,1005,PV,0.001875
10,1006,PV,0.102
10,1007,PV,0.231
10,1008,PV,0.38
10,1009,PV,0.547
10,1010,PV,0.447
10,1011,PV,0.345
10,1012,PV,0.233
10,1013,PV,0.119
10,1014,PV,0.032
10,1015,PV,0
10,1016,PV,0
10,1017,PV,0.001666667
10,1018,PV,0.041
10,1019,PV,0.1135
10,1020,PV,0.1688
10,1021,PV,0.105333333
10,1022,PV,0.0305
10,1023,PV,0
10,1024,PV,0
10,1025,PV,0.00075
10,1026,PV,0.051
10,1027,PV,0.123
10,1028,PV,0.206
10,1029,PV,0.317
10,1030,PV,0.2435
10,1031,PV,0.143
10,1032,PV,0.066
10,1033,PV,0.005666667
10,1034,PV,0
10,1035,PV,0.000625
10,1036,PV,0.048
10,1037,PV,0.122
10,1038,PV,0.23
10,1039,PV,0.338
10,1040,PV,0.411
10,1041,PV,0.298
10,1042,PV,0.215
10,1043,PV,0.117
10,1044,PV,0.01
10,1045,PV,0
10,1046,PV,0.0018
10,1047,PV,0.052
10,1048,PV,0.121
10,1049,PV,0.221
10,1050,PV,0.3425
10,1051,PV,0.2815
10,1052,PV,0.169
10,1053,PV,0.072
10,1054,PV,0.006
10,1055,PV,0.0015
10,1056,PV,0.073
10,1057,PV,0.16
10,1058,PV,0.286
10,1059,PV,0.418
10,1060,PV,0.5175
10,1061,PV,0.433
10,1062,PV,0.323
10,1063,PV,0.205
10,1064,PV,0.102
10,1065,PV,0.012
10,1066,PV,0
10,1067,PV,0.008375
10,1068,PV,0.135
10,1069,PV,0.226
10,1070,PV,0.315
10,1071,PV,0.4055
10,1072,PV,0.319
10,1073,PV,0.1495
10,1074,PV,0.00925
10,1075,PV,0.007
10,1076,PV,0.128
10,1077,PV,0.2575
10,1078,PV,0.413
10,1079,PV,0.3365
10,1080,PV,0.214
10,1081,PV,0.122
10,1082,PV,0.01025
10,1083,PV,0.001625
10,1084,PV,0.073
10,1085,PV,0.183
10,1086,PV,0.33
10,1087,PV,0.473
10,1088,PV,0.6265
10,1089,PV,0.54
10,1090,PV,0.421
10,1091,PV,0.281
10,1092,PV,0.156
10,1093,PV,0.0145
10,1094,PV,0.00275
10,1095,PV,0.108
10,1096,PV,0.232
10,1097,PV,0.354
10,1098,PV,0.464
10,1099,PV,0.55725
10,1100,PV,0.465
10,1101,PV,0.36
10,1102,PV,0.249
10,1103,PV,0.143
10,1104,PV,0.01325
10,1105,PV,0.00175
10,1106,PV,0.074
10,1107,PV,0.166
10,1108,PV,0.292
10,1109,PV,0.415
10,1110,PV,0.5455
10,1111,PV,0.472
10,1112,PV,0.38
10,1113,PV,0.269
10,1114,PV,0.153
10,1115,PV,0.01525
10,1116,PV,0
10,1117,PV,0.0066
10,1118,PV,0.122
10,1119,PV,0.257
10,1120,PV,0.399
10,1121,PV,0.506
10,1122,PV,0.60475
10,1123,PV,0.5
10,1124,PV,0.391
10,1125,PV,0.267
10,1126,PV,0.153
10,1127,PV,0.015
10,1128,PV,0.00375
10,1129,PV,0.12
10,1130,PV,0.259
10,1131,PV,0.405
10,1132,PV,0.517
10,1133,PV,0.60075
10,1134,PV,0.455
10,1135,PV,0.335
10,1136,PV,0.217
10,1137,PV,0.115
10,1138,PV,0.01125
10,1139,PV,0
10,1140,PV,0.004
10,1141,PV,0.069
10,1142,PV,0.149
10,1143,PV,0.239
10,1144,PV,0.332
10,1145,PV,0.46225
10,1146,PV,0.339
10,1147,PV,0.242
10,1148,PV,0.1195
10,1149,PV,0.00725
10,1150,PV,0
10,1151,PV,0.00775
10,1152,PV,0.121
10,1153,PV,0.246
10,1154,PV,0.37
10,1155,PV,0.473
10,1156,PV,0.567
10,1157,PV,0.464
10,1158,PV,0.356
10,1159,PV,0.245
10,1160,PV,0.0945
10,1161,PV,0.001333333
10,1162,PV,0.004
10,1163,PV,0.109
10,1164,PV,0.216
10,1165,PV,0.331
10,1166,PV,0.434
10,1167,PV,0.500666667
10,1168,PV,0.409
10,1169,PV,0.29
10,1170,PV,0.1605
10,1171,PV,0.019
10,1172,PV,0
10,1173,PV,0.003142857
10,1174,PV,0.09
10,1175,PV,0.194
10,1176,PV,0.3
10,1177,PV,0.4
10,1178,PV,0.49625
10,1179,PV,0.384
10,1180,PV,0.28
10,1181,PV,0.144
10,1182,PV,0.01275
10,1183,PV,0
10,1184,PV,0.002142857
10,1185,PV,0.058
10,1186,PV,0.119
10,1187,PV,0.2185
10,1188,PV,0.34
10,1189,PV,0.3205
10,1190,PV,0.2135
10,1191,PV,0.103
10,1192,PV,0.011
10,1193,PV,0.003875
10,1194,PV,0.107
10,1195,PV,0.211
10,1196,PV,0.306
10,1197,PV,0.38625
10,1198,PV,0.283
10,1199,PV,0.206
10,1200,PV,0.116
10,1201,PV,0.00975
10,1202,PV,0
10,1203,PV,0.0062
10,1204,PV,0.1
10,1205,PV,0.185
10,1206,PV,0.3175
10,1207,PV,0.421666667
10,1208,PV,0.326
10,1209,PV,0.214
10,1210,PV,0.1095
