Time,Scenario,dfix_RA,dflex_RA,dfix_RN,dflex_RN,diff_dfix,diff_dflex
11,23,78.7345893,8.621628976,78.7345893,8.620156025,0,0.001472951
11,24,57.06642771,6.248326552,57.06642771,6.247026865,0,0.001299687
11,25,79.86778434,8.745921625,79.86778434,8.744262994,0,0.001658631
11,26,76.76942013,8.523669587,76.76942013,8.520326973,0,0.003342614
11,27,52.71174531,5.771782821,52.71174531,5.770591882,0,0.001190939
11,28,65.52947889,7.175908655,65.52947889,7.174874945,0,0.00103371
11,29,77.98186638,8.539266507,77.98186638,8.537803366,0,0.001463141
11,2,61.84678986,6.87164101,61.84678986,6.871160524,0,0.000480487
11,30,62.24654493,6.816334434,62.24654493,6.815676479,0,0.000657955
11,3,79.17030216,8.796396089,79.17030216,8.795754646,0,0.000641443
11,4,77.10160671,8.566560852,77.10160671,8.565959061,0,0.000601791
11,5,79.86778434,8.873913769,79.86778434,8.873310791,0,0.000602978
11,6,81.31092687,9.02975891,81.31092687,9.021804344,0,0.007954566
11,7,52.61840919,5.846028738,52.61840919,5.845100951,0,0.000927787
11,8,55.4656509,6.073170422,55.4656509,6.071885343,0,0.001285079
11,9,74.55637557,8.164365531,74.55637557,8.163676101,0,0.00068943
12,10,74.448837,8.149366805,74.448837,8.148542915,0,0.00082389
12,11,49.60787796,5.508400863,49.60787796,5.502000152,0,0.006400711
12,12,74.42034129,8.149430026,74.42034129,8.147814793,0,0.001615232
12,13,59.62413627,6.528921638,59.62413627,6.52779441,0,0.001127228
12,14,63.64969299,6.969900987,63.64969299,6.96818316,0,0.001717828
12,15,51.61819284,5.652361537,51.61819284,5.650854715,0,0.001506822
12,16,55.18614033,6.125228209,55.18614033,6.121770233,0,0.003457976
12,17,69.04254654,7.668893941,69.04254654,7.663976853,0,0.004917088
12,18,59.52241404,6.609706923,59.52241404,6.603241183,0,0.00646574
12,19,53.41859487,5.849565543,53.41859487,5.848362704,0,0.001202838
12,1,76.21260282,8.467473854,76.21260282,8.466295674,0,0.001178181
12,20,56.83537188,6.311923749,56.83537188,6.308753597,0,0.003170151
12,21,79.62875892,8.719742616,79.62875892,8.718065513,0,0.001677103
12,22,81.57006234,9.054461025,81.57006234,9.04976398,0,0.004697045
12,23,61.35102909,6.718091808,61.35102909,6.716818217,0,0.001273591
12,24,78.21279387,8.564458505,78.21279387,8.563047658,0,0.001410847
12,25,55.59116022,6.087485944,55.59116022,6.085977429,0,0.001508515
12,26,54.3704202,5.95345362,54.3704202,5.95220239,0,0.00125123
12,27,71.73645714,7.964208526,71.73645714,7.96074438,0,0.003464146
12,28,58.97037861,6.546791344,58.97037861,6.537633436,0,0.009157908
12,29,59.18894568,6.481234307,59.18894568,6.479999443,0,0.001234863
12,2,52.17035148,5.796382893,52.17035148,5.795720241,0,0.000662651
12,30,54.99432792,6.106906508,54.99432792,6.100976252,0,0.005930256
12,3,61.44330582,6.826751384,61.44330582,6.826159365,0,0.000592019
12,4,61.49912274,6.832911416,61.49912274,6.83224209,0,0.000669326
12,5,56.47118499,6.274226372,56.47118499,6.27351193,0,0.000714442
12,6,58.82939235,6.533648847,58.82939235,6.527460272,0,0.006188575
12,7,74.42034129,8.262587639,74.42034129,8.259178487,0,0.003409152
12,8,78.21279387,8.564528983,78.21279387,8.563116972,0,0.001412011
12,9,62.20179459,6.811338688,62.20179459,6.809652795,0,0.001685893
13,10,64.77061518,7.109062385,64.77061518,7.108246804,0,0.000815581
13,11,74.03306751,8.222496466,74.03306751,8.21646473,0,0.006031736
13,12,56.32092558,6.167406265,56.32092558,6.165860153,0,0.001546112
13,13,63.23823828,6.924831675,63.23823828,6.923931208,0,0.000900467
13,14,79.52174127,8.707967173,79.52174127,8.70584238,0,0.002124793
13,15,77.83149474,8.644309619,77.83149474,8.638276256,0,0.006033363
13,16,77.59479654,8.615540717,77.59479654,8.612286381,0,0.003254336
13,17,81.85113072,8.963196511,81.85113072,8.960299976,0,0.002896536
13,18,65.83716144,7.310336298,65.83716144,7.302201404,0,0.008134893
13,19,64.00716291,7.009130104,64.00716291,7.008165001,0,0.000965103
13,1,79.13174346,8.792198051,79.13174346,8.79174723,0,0.00045082
13,20,72.86658003,7.979294593,72.86658003,7.977825852,0,0.001468741
13,21,57.68280351,6.316485767,57.68280351,6.31490396,0,0.001581806
13,22,69.72594075,7.635224752,69.72594075,7.634007502,0,0.001217251
13,23,77.65672527,8.503488151,77.65672527,8.501839482,0,0.001648669
13,24,56.14512768,6.147881753,56.14512768,6.146582269,0,0.001299484
13,25,68.52985335,7.504313703,68.52985335,7.502797369,0,0.001516333
13,26,75.86972307,8.423944584,75.86972307,8.420723922,0,0.003220662
13,27,54.00248517,5.91318476,54.00248517,5.911943536,0,0.001241223
13,28,63.9629676,7.0042785,63.9629676,7.00333507,0,0.00094343
13,29,78.61484934,8.608438223,78.61484934,8.606774943,0,0.00166328
13,2,63.25649559,7.028395937,63.25649559,7.028159262,0,0.000236674
13,30,78.85956357,8.758375454,78.85956357,8.752090688,0,0.006284766
