T,O,price_model,price
229,23,129.9556829,129.9556829
229,24,0.014785952,0.014785952
229,25,0.005075049,0.005075049
229,26,0.031155579,0.031155579
229,27,130.0003524,130.0003524
229,28,130.0187127,130.0187127
229,29,112.292861,112.292861
229,2,130.0080818,-130.0080818
229,30,130.0496529,130.0496529
229,3,0.014067221,-0.014067221
229,4,0.048571876,-0.048571876
229,5,130.052006,-130.052006
229,6,0.011940614,-0.011940614
229,7,130.081306,-130.081306
229,8,130.0053829,130.0053829
229,9,130.0120583,130.0120583
230,10,0.008470407,0.008470407
230,11,0.101600693,0.101600693
230,12,0.360904585,0.360904585
230,13,130.0018865,130.0018865
230,14,0.020062735,0.020062735
230,15,130.0064376,130.0064376
230,16,0.138496223,0.138496223
230,17,0.266835277,0.266835277
230,18,0.009167193,0.009167193
230,19,129.9785223,129.9785223
230,1,130.0355253,-130.0355253
230,20,129.9884146,129.9884146
230,21,130.0025435,130.0025435
230,22,129.9573107,129.9573107
230,23,0.023690864,0.023690864
230,24,0.00743056,0.00743056
230,25,129.8617329,129.8617329
230,26,0.054440566,0.054440566
230,27,130.0039318,130.0039318
230,28,129.972159,129.972159
230,29,0.05952645,0.05952645
230,2,129.9456525,-129.9456525
230,30,130.0370851,130.0370851
230,3,0.000338425,-0.000338425
230,4,0.000727343,-0.000727343
230,5,14.48576988,-14.48576988
230,6,0.042066176,-0.042066176
230,7,129.9735382,-129.9735382
230,8,129.9903549,129.9903549
230,9,0.058246736,0.058246736
231,10,0.00144955,0.00144955
231,11,130.0034658,130.0034658
231,12,130.0633756,130.0633756
231,13,129.9297371,129.9297371
231,14,129.996084,129.996084
231,15,129.9885241,129.9885241
231,16,129.9873873,129.9873873
231,17,130.0042823,130.0042823
231,18,0.00880675,0.00880675
231,19,129.9901598,129.9901598
231,1,129.9393513,-129.9393513
231,20,0.004035305,0.004035305
231,21,0.030770149,0.030770149
231,22,17.29549628,17.29549628
231,23,0.031365812,0.031365812
231,24,0.147405065,0.147405065
231,25,0.00773451,0.00773451
231,26,129.8618895,129.8618895
231,27,129.9616076,129.9616076
231,28,130.0121152,130.0121152
231,29,130.0124654,130.0124654
231,2,130.1345899,-130.1345899
231,30,129.9317147,129.9317147
231,3,0.002060994,-0.002060994
231,4,0.061789452,-0.061789452
231,5,130.0127281,-130.0127281
231,6,130.0174018,-130.0174018
231,7,130.0989126,-130.0989126
231,8,129.9697722,129.9697722
231,9,129.998212,129.998212
232,10,0.02023098,0.02023098
232,11,0.252480813,0.252480813
232,12,129.8212627,129.8212627
232,13,130.032354,130.032354
232,14,129.7081382,129.7081382
232,15,130.0032675,130.0032675
232,16,129.950786,129.950786
232,17,129.9232504,129.9232504
232,18,129.9939017,129.9939017
232,19,0.006754488,0.006754488
232,1,130.0203078,-130.0203078
232,20,0.011606765,0.011606765
232,21,128.7506637,128.7506637
232,22,129.9526028,129.9526028
232,23,0.034756416,0.034756416
232,24,0.027169767,0.027169767
232,25,0.010233559,0.010233559
232,26,129.181209,129.181209
232,27,129.9971666,129.9971666
232,28,0.175284583,0.175284583
232,29,129.998556,129.998556
232,2,129.7228748,-129.7228748
232,30,0.064563504,0.064563504
232,3,-0.00128725,0.00128725
232,4,0.057552048,-0.057552048
232,5,129.9076613,-129.9076613
232,6,129.9604275,-129.9604275
232,7,129.7585675,-129.7585675
232,8,0.110848541,0.110848541
232,9,0.023737925,0.023737925
233,10,0.009447547,0.009447547
233,11,130.0141415,130.0141415
233,12,130.0260075,130.0260075
233,13,129.9722751,129.9722751
233,14,129.9807119,129.9807119
233,15,129.9932621,129.9932621
233,16,130.0378754,130.0378754
233,17,130.0223702,130.0223702
233,18,129.8134838,129.8134838
233,19,129.756838,129.756838
233,1,129.9816863,-129.9816863
233,20,0.002046053,0.002046053
233,21,0.001784066,0.001784066
233,22,0.024731994,0.024731994
233,23,0.022554773,0.022554773
233,24,0.071898219,0.071898219
233,25,0.007509425,0.007509425
233,26,130.1261003,130.1261003
233,27,49.98373988,49.98373988
233,28,129.9995238,129.9995238
233,29,130.0301298,130.0301298
233,2,129.9945842,-129.9945842
233,30,129.9673774,129.9673774
233,3,0.005933804,-0.005933804
233,4,130.0024528,-130.0024528
233,5,0.077490467,-0.077490467
233,6,129.9987268,-129.9987268
233,7,194.4364175,-194.4364175
233,8,129.8743706,129.8743706
233,9,130.0143518,130.0143518
234,10,129.9765847,129.9765847
234,11,129.8008743,129.8008743
234,12,0.135283637,0.135283637
234,13,130.0039117,130.0039117
234,14,0.154408296,0.154408296
234,15,130.007553,130.007553
234,16,0.396910535,0.396910535
234,17,129.9871669,129.9871669
234,18,129.9798041,129.9798041
234,19,0.013452117,0.013452117
234,1,130.0166383,-130.0166383
234,20,0.009376557,0.009376557
234,21,0.045562305,0.045562305
234,22,0.090696856,0.090696856
234,23,129.9139664,129.9139664
234,24,1.222625571,1.222625571
234,25,129.6347691,129.6347691
234,26,129.8566724,129.8566724
234,27,0.937405339,0.937405339
234,28,129.9256857,129.9256857
234,29,129.9347695,129.9347695
234,2,0.018041749,-0.018041749
234,30,129.9356438,129.9356438
234,3,0.027028471,-0.027028471
234,4,129.9637575,-129.9637575
234,5,0.004650105,-0.004650105
234,6,129.9465708,-129.9465708
234,7,0.843515904,-0.843515904
234,8,130.0286352,130.0286352
234,9,129.9823386,129.9823386
235,10,0.022500976,0.022500976
235,11,130.062624,130.062624
235,12,129.943913,129.943913
235,13,0.136636313,0.136636313
235,14,129.8245515,129.8245515
235,15,129.9834482,129.9834482
235,16,130.0494845,130.0494845
235,17,130.0189539,130.0189539
235,18,0.01402715,0.01402715
235,19,129.9591095,129.9591095
235,1,129.8714533,-129.8714533
235,20,0.002276188,0.002276188
235,21,0.016416579,0.016416579
235,22,0.292564364,0.292564364
235,23,18.23661138,18.23661138
235,24,0.019574124,0.019574124
235,25,129.9839454,129.9839454
235,26,0.0428154,0.0428154
235,27,0.036869966,0.036869966
235,28,130.001443,130.001443
235,29,130.0208534,130.0208534
235,2,0.697010894,-0.697010894
235,30,130.0223891,130.0223891
235,3,129.9883947,-129.9883947
235,4,130.0112321,-130.0112321
235,5,0.012528239,-0.012528239
235,6,129.9997046,-129.9997046
235,7,130.0319558,-130.0319558
235,8,129.6618486,129.6618486
235,9,130.0120881,130.0120881
236,10,129.9895781,129.9895781
236,11,129.9416596,129.9416596
236,12,0.034521533,0.034521533
236,13,130.1170847,130.1170847
236,14,0.031661716,0.031661716
236,15,130.0046187,130.0046187
236,16,129.8369376,129.8369376
236,17,129.9716493,129.9716493
236,18,129.9914977,129.9914977
236,19,129.9377338,129.9377338
236,1,129.9899623,-129.9899623
236,20,0.51330952,0.51330952
236,21,130.0006716,130.0006716
236,22,0.063992735,0.063992735
236,23,130.0194598,130.0194598
236,24,0.013739161,0.013739161
236,25,129.993273,129.993273
236,26,0.00886087,0.00886087
236,27,129.9571413,129.9571413
236,28,0.019147055,0.019147055
236,29,0.066078576,0.066078576
236,2,129.9615318,-129.9615318
236,30,129.9808681,129.9808681
236,3,129.9122609,-129.9122609
236,4,0.1334942,-0.1334942
236,5,0.008147908,-0.008147908
236,6,0.047017652,-0.047017652
236,7,0.192324862,-0.192324862
236,8,130.0097336,130.0097336
236,9,129.937747,129.937747
237,10,129.9043667,129.9043667
237,11,130.0230876,130.0230876
237,12,129.9428334,129.9428334
237,13,129.9863631,129.9863631
237,14,129.8088902,129.8088902
237,15,129.9408028,129.9408028
237,16,130.0387899,130.0387899
237,17,130.0098899,130.0098899
237,18,129.9992914,129.9992914
237,19,0.007788263,0.007788263
237,1,129.6437525,-129.6437525
237,20,0.015782926,0.015782926
237,21,0.342436243,0.342436243
237,22,0.022853039,0.022853039
237,23,0.037960355,0.037960355
237,24,0.024971995,0.024971995
237,25,130.0190351,130.0190351
237,26,130.0206422,130.0206422
237,27,0.045140756,0.045140756
237,28,1.634158789,1.634158789
237,29,130.0071771,130.0071771
237,2,0.019483277,-0.019483277
237,30,130.0493686,130.0493686
237,3,130.0283644,-130.0283644
237,4,129.8781423,-129.8781423
237,5,0.187761166,-0.187761166
237,6,0.016110914,-0.016110914
237,7,130.0092468,-130.0092468
237,8,0.012866416,0.012866416
237,9,130.0209184,130.0209184
238,10,130.0130656,130.0130656
238,11,0.050605372,0.050605372
238,12,0.048165271,0.048165271
238,13,131.0582158,131.0582158
238,14,0.010647976,0.010647976
238,15,130.0366117,130.0366117
238,16,0.030937915,0.030937915
238,17,129.9847874,129.9847874
238,18,129.9929574,129.9929574
238,19,0.108890834,0.108890834
238,1,130.0330534,-130.0330534
238,20,129.9813684,129.9813684
238,21,130.0077913,130.0077913
238,22,0.355986427,0.355986427
238,23,0.012353608,0.012353608
238,24,0.342359589,0.342359589
238,25,129.9596018,129.9596018
238,26,0.052205506,0.052205506
238,27,129.8101324,129.8101324
238,28,0.007344021,0.007344021
238,29,129.9002385,129.9002385
238,2,129.9992797,-129.9992797
238,30,129.835048,129.835048
238,3,0.052472223,-0.052472223
238,4,0.085728264,-0.085728264
238,5,129.7477735,-129.7477735
238,6,0.008504828,-0.008504828
238,7,129.8690787,-129.8690787
238,8,0.113469698,0.113469698
238,9,129.9930873,129.9930873
239,10,129.986545,129.986545
239,11,0.021297193,0.021297193
239,12,129.9816331,129.9816331
239,13,7.764062964,7.764062964
239,14,0.007603589,0.007603589
239,15,129.9519606,129.9519606
239,16,0.072100725,0.072100725
239,17,130.0069444,130.0069444
239,18,0.026471742,0.026471742
239,19,129.9509046,129.9509046
239,1,129.6329819,-129.6329819
239,20,1.022872666,1.022872666
239,21,128.4734667,128.4734667
239,22,0.92416452,0.92416452
239,23,0.05333129,0.05333129
239,24,130.4048141,130.4048141
239,25,130.0110246,130.0110246
239,26,0.03272626,0.03272626
239,27,0.049541552,0.049541552
239,28,129.8466242,129.8466242
239,29,16.72157377,16.72157377
239,2,0.007296241,-0.007296241
239,30,130.0503706,130.0503706
239,3,0.036291121,-0.036291121
239,4,0.016277437,-0.016277437
239,5,0.046756291,-0.046756291
239,6,129.9926564,-129.9926564
239,7,0.699268218,-0.699268218
239,8,0.028664045,0.028664045
239,9,130.0359622,130.0359622
240,10,130.0126511,130.0126511
240,11,0.002403741,0.002403741
240,12,0.103050443,0.103050443
240,13,0.039690465,0.039690465
240,14,0.013573557,0.013573557
240,15,130.0083943,130.0083943
240,16,0.011144731,0.011144731
240,17,129.9963278,129.9963278
240,18,0.01298138,0.01298138
240,19,129.9804647,129.9804647
240,1,130.1405469,-130.1405469
240,20,15.28690219,15.28690219
240,21,130.0083866,130.0083866
240,22,129.91844,129.91844
240,23,129.9529526,129.9529526
240,24,0.055081215,0.055081215
240,25,0.781819891,0.781819891
240,26,0.00716073,0.00716073
240,27,0.64292556,0.64292556
240,28,0.003352626,0.003352626
240,29,0.020015921,0.020015921
240,2,0.034180882,-0.034180882
240,30,129.9137693,129.9137693
240,3,0.002810718,-0.002810718
240,4,0.096144264,-0.096144264
240,5,0.081791674,-0.081791674
240,6,123.6736255,-123.6736255
240,7,0.125774378,-0.125774378
240,8,0.085044902,0.085044902
240,9,0.041247573,0.041247573
241,10,129.9699841,129.9699841
241,11,0.04469311,0.04469311
241,12,130.0031932,130.0031932
241,13,0.029447306,0.029447306
241,14,129.9925627,129.9925627
241,15,0.030502459,0.030502459
241,16,0.026271993,0.026271993
241,17,129.9980747,129.9980747
241,18,130.00587,130.00587
241,19,130.0125855,130.0125855
241,1,129.957406,-129.957406
241,20,0.006522938,0.006522938
241,21,129.9724047,129.9724047
