T,O,price_1,price_2,price_3,
36,2,13.00675058,13.00675058,13.00675058,7
36,3,13.00967133,-13.00967133,-13.00967133,8
37,1,16.4469244,16.4469244,220,10
37,2,15.37993107,15.37993107,15.37993107,8
37,3,15.38132874,-15.38132874,-15.38132874,6
38,1,19.34830374,19.34830374,44,2
38,2,13.00660884,13.00660884,13.00660884,8
38,3,13.00965615,-13.00965615,-13.00965615,9
39,1,16.40443175,16.40443175,88,4
39,2,15.39095991,15.39095991,15.39095991,5
39,3,15.38130147,-15.38130147,-15.38130147,3
40,1,19.34829836,19.34829836,44,2
40,2,13.00660677,13.00660677,13.00660677,0
40,3,13.00964167,-13.00964167,-13.00964167,6
41,1,19.36332485,19.36332485,176,8
41,2,15.37962502,15.37962502,15.37962502,9
41,3,15.38127334,-15.38127334,-15.38127334,8
42,1,19.34829813,19.34829813,154,7
42,2,13.00660419,13.00660419,13.00660419,10
42,3,13.00963256,-13.00963256,-13.00963256,7
43,1,16.42488844,16.42488844,198,9
43,2,15.37962842,15.37962842,15.37962842,0
43,3,13.00963739,-13.00963739,-13.00963739,6
44,1,19.34878166,19.34878166,110,5
44,2,13.00659798,13.00659798,13.00659798,1
44,3,13.00962445,-13.00962445,-13.00962445,2
45,1,16.4128692,16.4128692,44,2
45,2,13.00660655,13.00660655,13.00660655,6
45,3,15.38124569,-15.38124569,-15.38124569,2
46,1,19.348816,19.348816,154,7
46,2,13.00657328,13.00657328,13.00657328,1
46,3,13.00962404,-13.00962404,-13.00962404,8
47,1,13.0108618,13.0108618,66,3
47,2,13.00659609,13.00659609,13.00659609,9
47,3,15.38124521,-15.38124521,-15.38124521,6
48,1,15.37987065,15.37987065,88,4
48,2,15.38256982,15.38256982,15.38256982,9
48,3,13.00962284,-13.00962284,-13.00962284,7
49,1,15.39099026,15.39099026,0,0
49,2,13.00659439,13.00659439,13.00659439,3
49,3,15.38124432,-15.38124432,-15.38124432,2
50,1,15.39548616,15.39548616,0,0
50,2,15.38169836,15.38169836,15.38169836,7
50,3,13.00962282,-13.00962282,-13.00962282,8
51,1,13.01219459,13.01219459,198,9
51,2,13.00659411,13.00659411,13.00659411,3
